timestamp,headyaw
00000000,-0.60750604
00000010,-0.60750604
00000022,-0.60750604
00000034,-0.60750604
00000046,-0.60750604
00000058,-0.60750604
00000071,-0.60750604
00000083,-0.60750604
00000094,-0.60750604
00000107,-0.60750604
00000119,-0.60750604
00000131,-0.60750604
00000143,-0.60750604
00000155,-0.60750604
00000167,-0.60750604
00000179,-0.60750604
00000191,-0.60750604
00000203,-0.60750604
00000215,-0.60750604
00000227,-0.60750604
00000239,-0.60750604
00000251,-0.60750604
00000263,-0.60750604
00000275,-0.60750604
00000287,-0.60750604
00000300,-0.60750604
00000312,-0.60750604
00000323,-0.60750604
00000336,-0.60750604
00000348,-0.60750604
00000360,-0.60750604
00000372,-0.60750604
00000384,-0.60750604
00000396,-0.60750604
00000408,-0.60750604
00000420,-0.60597205
00000432,-0.60750604
00000444,-0.60750604
00000456,-0.60750604
00000468,-0.60750604
00000480,-0.60750604
00000492,-0.60750604
00000504,-0.60750604
00000516,-0.60750604
00000528,-0.60750604
00000541,-0.60750604
00000552,-0.60750604
00000564,-0.60750604
00000577,-0.60750604
00000588,-0.60750604
00000601,-0.60750604
00000612,-0.60750604
00000625,-0.60750604
00000637,-0.60750604
00000649,-0.60750604
00000661,-0.60750604
00000673,-0.60750604
00000685,-0.60750604
00000697,-0.60750604
00000709,-0.60750604
00000721,-0.60750604
00000733,-0.60750604
00000745,-0.60750604
00000757,-0.60750604
00000769,-0.60750604
00000781,-0.60750604
00000793,-0.60750604
00000805,-0.60750604
00000817,-0.60750604
00000829,-0.60750604
00000841,-0.60750604
00000853,-0.60750604
00000866,-0.60750604
00000878,-0.60750604
00000890,-0.60597205
00000902,-0.60750604
00000914,-0.60750604
00000926,-0.60750604
00000938,-0.60750604
00000950,-0.60750604
00000962,-0.60750604
00000974,-0.60750604
00000986,-0.60750604
00000998,-0.60597205
00001010,-0.60750604
00001022,-0.60750604
00001034,-0.60750604
00001046,-0.60750604
00001058,-0.60750604
00001070,-0.60750604
00001082,-0.60750604
00001094,-0.60750604
00001106,-0.60750604
00001118,-0.60597205
00001131,-0.60750604
00001143,-0.60750604
00001155,-0.60750604
00001167,-0.60597205
00001179,-0.60750604
00001191,-0.60750604
00001203,-0.60750604
00001215,-0.60750604
00001227,-0.60750604
00001239,-0.60750604
00001251,-0.60750604
00001263,-0.60750604
00001275,-0.60750604
00001287,-0.60750604
00001299,-0.60750604
00001311,-0.60750604
00001324,-0.60750604
00001336,-0.60750604
00001348,-0.60750604
00001359,-0.60750604
00001372,-0.60750604
00001384,-0.60750604
00001396,-0.60750604
00001408,-0.60750604
00001420,-0.60750604
00001432,-0.60750604
00001444,-0.60750604
00001456,-0.60750604
00001468,-0.60750604
00001480,-0.60750604
00001492,-0.60597205
00001504,-0.60750604
00001516,-0.60750604
00001529,-0.60750604
00001540,-0.60750604
00001553,-0.60750604
00001565,-0.60750604
00001576,-0.60750604
00001589,-0.60750604
00001601,-0.60750604
00001613,-0.60750604
00001625,-0.60750604
00001637,-0.60750604
00001649,-0.60750604
00001661,-0.60750604
00001673,-0.60750604
00001685,-0.60750604
00001697,-0.60750604
00001709,-0.60750604
00001721,-0.60750604
00001734,-0.60750604
00001745,-0.60750604
00001757,-0.60597205
00001769,-0.60750604
00001782,-0.60750604
00001794,-0.60750604
00001806,-0.60750604
00001818,-0.60750604
00001830,-0.60750604
00001842,-0.60750604
00001854,-0.60750604
00001866,-0.60750604
00001878,-0.60750604
00001890,-0.60750604
00001902,-0.60750604
00001914,-0.60750604
00001926,-0.60597205
00001938,-0.60750604
00001950,-0.60750604
00001962,-0.60750604
00001974,-0.60750604
00001987,-0.60750604
00001998,-0.60750604
00002011,-0.60750604
00002023,-0.60750604
00002035,-0.60750604
00002047,-0.60750604
00002059,-0.60750604
00002071,-0.60750604
00002083,-0.60750604
00002095,-0.60750604
00002107,-0.60750604
00002119,-0.60750604
00002131,-0.60597205
00002143,-0.60750604
00002155,-0.60597205
00002167,-0.60750604
00002179,-0.60750604
00002191,-0.60750604
00002203,-0.60750604
00002215,-0.60750604
00002227,-0.60750604
00002239,-0.60750604
00002251,-0.60750604
00002264,-0.60750604
00002276,-0.60750604
00002288,-0.60750604
00002299,-0.60750604
00002312,-0.60750604
00002324,-0.60750604
00002336,-0.60750604
00002348,-0.60750604
00002360,-0.60750604
00002372,-0.60750604
00002384,-0.60750604
00002396,-0.60750604
00002408,-0.60597205
00002420,-0.60750604
00002432,-0.60750604
00002444,-0.60750604
00002456,-0.60750604
00002469,-0.60750604
00002480,-0.60750604
00002492,-0.60750604
00002505,-0.60750604
00002517,-0.60750604
00002529,-0.60750604
00002540,-0.60750604
00002553,-0.60750604
00002565,-0.60750604
00002577,-0.60750604
00002589,-0.60750604
00002601,-0.60750604
00002613,-0.60750604
00002625,-0.60750604
00002637,-0.60750604
00002649,-0.60750604
00002661,-0.60750604
00002673,-0.60750604
00002685,-0.60750604
00002697,-0.60750604
